taxid,parent,taxonomic_rank,scientific_name
taxon:1 [root]@no rank,taxon:1 [root]@no rank,no rank,root
taxon:131567 [cellular organisms]@no rank,taxon:1 [root]@no rank,no rank,cellular organisms
taxon:2 [Bacteria]@superkingdom,taxon:131567 [cellular organisms]@no rank,superkingdom,Bacteria
taxon:1224 [Pseudomonadota]@phylum,taxon:2 [Bacteria]@superkingdom,phylum,Pseudomonadota
taxon:1236 [Gammaproteobacteria]@class,taxon:1224 [Pseudomonadota]@phylum,class,Gammaproteobacteria
taxon:91347 [Enterobacterales]@order,taxon:1236 [Gammaproteobacteria]@class,order,Enterobacterales
taxon:543 [Enterobacteriaceae]@family,taxon:91347 [Enterobacterales]@order,family,Enterobacteriaceae
taxon:561 [Escherichia]@genus,taxon:543 [Enterobacteriaceae]@family,genus,Escherichia
taxon:2608889 [unclassified Escherichia]@no rank,taxon:561 [Escherichia]@genus,no rank,unclassified Escherichia
taxon:754315 [Escherichia sp. E1492]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E1492
taxon:1644929 [Escherichia sp. UIWRF0463]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0463
taxon:1645057 [Escherichia sp. UIWRF0945]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0945
taxon:374879 [Escherichia sp. EMB 339]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. EMB 339
taxon:1647689 [Escherichia sp. S488]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. S488
taxon:1563535 [Escherichia sp. ESBL535B1_13_4A]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL535B1_13_4A
taxon:1644906 [Escherichia sp. UIWRF0155]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0155
taxon:1777375 [Escherichia sp. 102C.2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 102C.2
taxon:1678485 [Escherichia sp. UIWRF0705]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0705
taxon:1220656 [Escherichia sp. 003.14]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 003.14
taxon:1777381 [Escherichia sp. 39D.1]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 39D.1
taxon:1874078 [Escherichia sp. AHG-4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. AHG-4
taxon:2653533 [Escherichia sp. AGR4111]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. AGR4111
taxon:1343182 [Escherichia sp. 49]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 49
taxon:1343180 [Escherichia sp. 4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 4
taxon:1572350 [Escherichia sp. PHFF-9]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. PHFF-9
taxon:2093877 [Escherichia sp. MOD1-EC5948]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC5948
taxon:1647691 [Escherichia sp. S83]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. S83
taxon:1535107 [Escherichia sp. ESBL228B15_13_2E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL228B15_13_2E
taxon:1535120 [Escherichia sp. ESBL37B15_13_1E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL37B15_13_1E
taxon:2764324 [Escherichia hominis]@species,taxon:561 [Escherichia]@genus,species,Escherichia hominis
taxon:1535135 [Escherichia sp. ESBL54B15_13_1E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL54B15_13_1E
taxon:1645079 [Escherichia sp. UIWRF1141]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF1141
taxon:1864752 [Escherichia sp. BAB-5810]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. BAB-5810
taxon:1343186 [Escherichia sp. 64]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 64
taxon:1678469 [Escherichia sp. UIWRF0523]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0523
taxon:1179806 [Escherichia sp. DGM MC4E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. DGM MC4E
taxon:2082629 [Escherichia sp. R15]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R15
taxon:1220663 [Escherichia sp. 105.12]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 105.12
taxon:1343177 [Escherichia sp. 23]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 23
taxon:1179805 [Escherichia sp. DGM MC3E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. DGM MC3E
taxon:1644924 [Escherichia sp. UIWRF0420]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0420
taxon:754317 [Escherichia sp. E472]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E472
taxon:1645036 [Escherichia sp. UIWRF0909]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0909
taxon:1299478 [Escherichia sp. C3]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. C3
taxon:2723297 [Escherichia sp. 11.1600]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 11.1600
taxon:1645013 [Escherichia sp. UIWRF0838]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0838
taxon:1535112 [Escherichia sp. ESBL294B15_13_2E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL294B15_13_2E
